,ex_date,incident_name,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_type,3_months_in_5km,3_months_size_5km,3_months_in_10km,3_months_size_10km,3_months_in_25km,3_months_size_25km,3_months_in_50km,3_months_size_50km,3_months_in_100km,3_months_size_100km,6_months_in_5km,6_months_size_5km,6_months_in_10km,6_months_size_10km,6_months_in_25km,6_months_size_25km,6_months_in_50km,6_months_size_50km,6_months_in_100km,6_months_size_100km,12_months_in_5km,12_months_size_5km,12_months_in_10km,12_months_size_10km,12_months_in_25km,12_months_size_25km,12_months_in_50km,12_months_size_50km,12_months_in_100km,12_months_size_100km,24_months_in_5km,24_months_size_5km,24_months_in_10km,24_months_size_10km,24_months_in_25km,24_months_size_25km,24_months_in_50km,24_months_size_50km,24_months_in_100km,24_months_size_100km,36_months_in_5km,36_months_size_5km,36_months_in_10km,36_months_size_10km,36_months_in_25km,36_months_size_25km,36_months_in_50km,36_months_size_50km,36_months_in_100km,36_months_size_100km
12,2016-05-31 13:48:00+00:00,Pala Fire,San Diego,70.0,-117.08829,33.41639,,False,0.0,False,0.0,False,0.0,True,5.0,True,139.55,False,0.0,False,0.0,False,0.0,True,5.0,True,139.55,False,0.0,False,0.0,True,325.0,True,652.0,True,818.55,False,0.0,False,0.0,True,325.0,True,657.0,True,1109.55,False,0.0,False,0.0,True,415.0,True,802.0,True,1870.55
13,2016-06-01 15:35:00+00:00,Chimney Fire,Tulare,0.0,-118.08591,35.84883,,False,0.0,False,0.0,False,0.0,False,0.0,True,83.47,False,0.0,False,0.0,False,0.0,False,0.0,True,83.47,False,0.0,False,0.0,False,0.0,False,0.0,True,83.47,False,0.0,False,0.0,False,0.0,True,104.0,True,1672.3890000000001,False,0.0,False,0.0,False,0.0,True,233.0,True,1835.5585678682698
14,2016-06-03 12:41:00+00:00,Aukum Fire,El Dorado,25.0,-120.6955,38.64107,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,7.3,True,250.3,True,1159.92,False,0.0,False,0.0,True,351.3,True,748.3,True,3153.7200000000003,False,0.0,False,0.0,True,1221.3,True,1697.8,True,4511.719999999999
15,2016-06-03 16:57:00+00:00,Clay Fire,Sacramento,32.0,-121.06452,38.3131,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,7.3,True,1119.1599999999999,False,0.0,False,0.0,False,0.0,True,7.3,True,2073.66,False,0.0,False,0.0,False,0.0,True,7.3,True,3255.6600000000003
16,2016-06-03 17:39:00+00:00,Hidden Fire,San Benito,30.0,-121.40304,36.80296,,False,0.0,False,0.0,False,0.0,False,0.0,True,700.88,False,0.0,False,0.0,False,0.0,False,0.0,True,700.88,False,0.0,False,0.0,False,0.0,True,630.0,True,1913.88,False,0.0,False,0.0,False,0.0,True,630.0,True,2020.88,False,0.0,False,0.0,False,0.0,True,630.0,True,2971.88
17,2016-06-04 11:40:00+00:00,Temecula Fire,Riverside,139.0,-117.140883,33.476894,,False,0.0,False,0.0,True,63.67999999999999,True,68.67999999999999,True,118.22999999999999,False,0.0,False,0.0,True,63.67999999999999,True,68.67999999999999,True,203.23000000000002,False,0.0,False,0.0,True,63.67999999999999,True,392.68,True,557.23,False,0.0,False,0.0,True,388.68,True,722.68,True,1173.2299999999998,False,0.0,False,0.0,True,388.68,True,875.68,True,1375.2299999999998
18,2016-06-04 14:33:00+00:00,Coleman Fire,Monterey,2520.0,-121.25029,36.01542,,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,True,0.0,True,306.01,False,0.0,False,0.0,False,0.0,True,0.0,True,1667.01
19,2016-06-04 17:46:00+00:00,Soda Fire,San Luis Obispo,0.0,-119.58206,35.01382,,False,0.0,False,0.0,False,0.0,False,0.0,True,210.98,False,0.0,False,0.0,False,0.0,False,0.0,True,210.98,False,0.0,False,0.0,False,0.0,False,0.0,True,518.98,False,0.0,False,0.0,False,0.0,False,0.0,True,520.98,False,0.0,False,0.0,False,0.0,False,0.0,True,619.08
20,2016-06-07 02:45:00+00:00,Pony Fire,Siskiyou,2860.0,-123.557,41.623,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,13.5,True,189.7,True,4951.000000000001,True,5447.260943606448,False,0.0,True,13.5,True,189.7,True,5096.500000000001,True,5952.475174079923,False,0.0,True,13.5,True,189.7,True,5200.500000000001,True,6436.849250923185
21,2016-06-07 16:30:00+00:00,Coe Fire,Stanislaus,120.0,-121.42238,37.17072,,False,0.0,False,0.0,True,693.88,True,693.88,True,700.88,False,0.0,False,0.0,True,693.88,True,693.88,True,700.88,False,0.0,False,0.0,True,1906.88,True,1906.88,True,1913.88,False,0.0,False,0.0,True,1906.88,True,1906.88,True,2025.88,False,0.0,False,0.0,True,1906.88,True,1906.88,True,2876.88
22,2016-06-11 14:30:00+00:00,Hoag Fire,Tehama,80.0,-121.857,39.7947,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,34.099999999999994,False,0.0,False,0.0,False,0.0,False,0.0,True,950.86,False,0.0,False,0.0,True,464.0,True,1120.48,True,2742.04,False,0.0,False,0.0,True,554.0,True,1638.48,True,4982.1399999999985
23,2016-06-11 15:04:00+00:00,Cotton Fire,Kern,61.0,-120.251,35.77135,,False,0.0,False,0.0,False,0.0,True,39.81,True,39.81,False,0.0,False,0.0,False,0.0,True,39.81,True,39.81,False,0.0,False,0.0,False,0.0,True,347.81,True,347.81,False,0.0,False,0.0,False,0.0,True,347.81,True,614.01,False,0.0,False,0.0,False,0.0,True,347.81,True,1129.01
24,2016-06-11 16:02:00+00:00,Keswick Fire,Shasta,24.0,-122.46777,40.61388,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,40.0,True,40.0,True,60.0,True,87.9,True,100.74951558943623,True,140.74951558943621,True,345.7495155894362,True,895.7495155894362,True,3180.1295155894363,True,130.09337346957798,True,312.093373469578,True,946.2121440689432,True,1583.212144068943,True,5877.192144068942
25,2016-06-12 12:45:00+00:00,Old Fire,San Benito,83.0,-121.04993,36.49914,,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,False,0.0,True,669.81,False,0.0,False,0.0,False,0.0,False,0.0,True,669.81,False,0.0,True,851.0,True,951.0,True,951.0,True,1620.81
26,2016-06-15 15:21:00+00:00,Sherpa Fire,Santa Barbara,7474.0,-119.643,34.776,,False,0.0,False,0.0,False,0.0,False,0.0,True,210.98,False,0.0,False,0.0,False,0.0,False,0.0,True,210.98,False,0.0,False,0.0,False,0.0,False,0.0,True,518.98,False,0.0,False,0.0,False,0.0,False,0.0,True,520.98,False,0.0,False,0.0,False,0.0,False,0.0,True,614.08
27,2016-06-17 14:54:00+00:00,Camanche Fire,Amador,210.0,-120.90265,38.26874,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,7.3,True,1119.1599999999999,False,0.0,False,0.0,False,0.0,True,7.3,True,2073.66,False,0.0,False,0.0,False,0.0,True,272.8,True,3255.6600000000003
28,2016-06-18 16:47:00+00:00,Arroyo Fire,Monterey,70.0,-121.3306,36.2833,,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,False,0.0,True,39.81,False,0.0,False,0.0,False,0.0,True,951.0,True,1400.81
29,2016-06-19 11:03:00+00:00,Border Fire,San Diego,7609.0,-116.63028,32.60729,,False,0.0,False,0.0,True,49.55,True,49.55,True,49.55,False,0.0,False,0.0,True,134.55,True,134.55,True,134.55,False,0.0,False,0.0,True,134.55,True,134.55,True,441.55,False,0.0,False,0.0,True,144.55,True,394.55,True,727.55,False,0.0,False,0.0,True,193.55,True,443.55,True,776.55
30,2016-06-20 16:38:00+00:00,Coal Fire,Butte,112.0,-121.6008,39.595,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,146.1,False,0.0,False,0.0,False,0.0,True,47.9,True,1062.8600000000001,False,0.0,False,0.0,True,30.0,True,669.3,True,3437.5400000000004,False,0.0,False,0.0,True,86.0,True,1218.5,True,6010.6399999999985
31,2016-06-21 10:26:00+00:00,Paskenta Fire,Tehama,43.0,-122.40142,39.93965,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,86.0,False,0.0,False,0.0,False,0.0,True,1159.48,True,2278.7295155894362,False,0.0,False,0.0,True,750.0,True,2179.48,True,4509.192144068944
32,2016-06-21 12:24:00+00:00,Moore Fire,Placer,88.0,-121.37704,38.86804,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,132.0,False,0.0,False,0.0,True,868.86,True,1133.76,True,1299.06,False,0.0,False,0.0,True,868.86,True,1133.76,True,2541.46,False,0.0,False,0.0,True,868.86,True,1223.76,True,3950.1600000000003
33,2016-06-21 15:09:00+00:00,70 Fire,Butte,49.0,-121.6051,39.43351,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,112.0,False,0.0,False,0.0,True,26.0,True,916.76,True,1271.76,True,30.0,True,30.0,True,107.0,True,1231.66,True,3600.6400000000003,True,30.0,True,30.0,True,163.0,True,1690.8600000000001,True,6166.739999999999
34,2016-06-23 15:51:00+00:00,Erskine Fire,Kern,48019.0,-118.45628,35.6115,,False,0.0,False,0.0,False,0.0,False,0.0,True,83.47,False,0.0,False,0.0,False,0.0,False,0.0,True,83.47,False,0.0,False,0.0,False,0.0,False,0.0,True,83.47,False,0.0,False,0.0,True,104.0,True,104.0,True,1672.3890000000001,False,0.0,False,0.0,True,233.0,True,233.0,True,1806.3890000000001
35,2016-06-23 17:57:00+00:00,Lowe Fire,Monterey,52.0,-120.9293,36.1934,,False,0.0,False,0.0,False,0.0,True,39.81,True,39.81,False,0.0,False,0.0,False,0.0,True,39.81,True,39.81,False,0.0,False,0.0,False,0.0,True,39.81,True,39.81,False,0.0,False,0.0,False,0.0,True,39.81,True,306.01,False,0.0,False,0.0,True,100.0,True,990.81,True,1667.01
36,2016-06-25 06:30:00+00:00,Marina Fire,Mono,650.0,-119.14,37.97,,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,98.44404844938694,True,98.44404844938694,False,0.0,False,0.0,True,243.0,True,341.44404844938697,True,619.3601819190051,False,0.0,False,0.0,True,534.0,True,966.444048449387,True,1534.0610827641792
37,2016-06-25 16:11:00+00:00,Grant Fire,Alameda,211.0,-121.58677,37.74369,,False,0.0,False,0.0,False,0.0,True,693.88,True,700.88,False,0.0,False,0.0,False,0.0,True,693.88,True,704.88,False,0.0,False,0.0,False,0.0,True,1276.88,True,1919.88,False,0.0,False,0.0,False,0.0,True,1276.88,True,2035.88,False,0.0,False,0.0,False,0.0,True,1276.88,True,2035.88
38,2016-06-25 23:45:00+00:00,Dinosaur Fire,Merced,1246.0,-121.20155,37.07147,,False,0.0,False,0.0,False,0.0,True,693.88,True,700.88,False,0.0,False,0.0,False,0.0,True,693.88,True,700.88,False,0.0,False,0.0,False,0.0,True,1906.88,True,1913.88,False,0.0,False,0.0,False,0.0,True,1906.88,True,2020.88,False,0.0,False,0.0,False,0.0,True,1906.88,True,2971.88
