OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,SHAPE_Length,SHAPE_Area
10190,2005,CA,USF,STF,0000000003253518,DRY MEADOW,4,2005/07/08 00:00:00+00,2005/07/08 00:00:00+00,144.008050656619,144.00957,,,,4476.2295113175,946568.418240941
10191,2005,CA,USF,STF,0000000003225208,IRISH,4,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,267.089321289499,267.09155,,,,7860.84221877197,1756891.84289727
10192,2005,CA,USF,LNF,0000000003255465,04 AL BETTY SUE,1,2005/05/27 00:00:00+00,2005/05/27 00:00:00+00,99.8727810102752,99.875526,,,,4997.65472188358,697054.403579621
10193,2005,CA,USF,LNF,0000000003239173,04 AL MIDDLE RIDGE,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,55.3221194544383,55.322475,,,,3023.77644686957,384887.036017503
10194,2005,CA,USF,LNF,0000000003291122,04 AL HUMBOLDT SUMMIT,1,2005/05/23 00:00:00+00,2005/05/23 00:00:00+00,431.000781677445,431.01178,,,,7329.46632661683,2987311.49769593
10195,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,170.468423601509,170.46727,,,,5143.55012118596,1154332.37966059
10196,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,53.4028828270938,53.402405,,,,4256.71277164512,361786.869302356
10197,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,57.5433272681142,57.542355,,,,3484.13392634937,389697.288835655
10198,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,40.7408733755011,40.740505,,,,3503.00516453425,275918.246385913
10199,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,37.294232834679,37.293713,,,,2529.05697468722,252632.927636089
10200,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,109.794687517693,109.79238,,,,4236.12567055716,743365.035394
10201,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,143.891381914488,143.89018,,,,5806.82383650477,974737.15290548
10202,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,216.674969778659,216.67694,,,,7112.49359716709,1476873.10644462
10203,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,66.4659255999305,66.466385,,,,3793.15207066325,453369.958752876
10204,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,65.706779881544,65.706215,,,,4517.42315586915,448529.451291331
10205,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,198.849770074076,198.84813,,,,5395.81038935124,1343980.17335593
10206,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,209.567197166853,209.56525,,,,6568.29846031097,1416152.37676879
