PLOT,Fire_Year,SPECIES,MORT_DATE,DBH,CVS,FIRE_MORT_0_to_3_yr,POST_FIRE_BEETLE_MORT_5yr,N.neighbors.15m,N.neighbors.5m,N.conspecific.neighbors.15m,N.conspecific.neighbors.5m,Nearest.neighbor,HEGYI,BA.conspecifics.5m,BA.conspecifics.15m,BA.3m,BA.5m,BA.8m,BA.11m,BA.15m,BA.20m
CRCRPIPO,2009,ABCO,2010,3.3,100,1,NA,302,72,172,61,0.45,115.7820122,0.058,0.238,0.098,0.406,1.186,2.581,5.081,8.31
CRCRPIPO,2009,ABCO,2010,3.6,100,1,NA,301,67,171,56,0.45,105.6055215,0.061,0.237,0.098,0.361,1.183,3.185,4.463,8.317
CRCRPIPO,2009,ABCO,2010,3.9,100,1,NA,294,71,168,58,0.23,96.4935407,0.067,0.233,0.197,0.755,1.593,2.541,4.423,8.338
CRCRPIPO,2009,ABCO,2010,3.5,100,1,NA,293,70,167,55,0.3,103.0385443,0.062,0.233,0.197,0.752,1.38,3.083,4.422,8.476
CRCRPIPO,2009,ABCO,2010,4.5,100,1,NA,294,70,170,57,0.78,81.0502414,0.061,0.234,0.138,0.442,1.248,2.998,4.29,8.51
CRCRPIPO,2009,ABCO,2010,2.7,100,1,NA,293,69,169,54,0.81,138.6537675,0.061,0.242,0.196,0.734,1.249,3.027,4.291,8.472
CRCRPIPO,2009,ABCO,2010,3.7,100,1,NA,255,48,147,33,0.77,87.47989133,0.068,0.847,0.165,1.068,1.675,2.581,4.27,7.564
CRCRPIPO,2009,ABCO,2010,2,100,1,NA,293,60,169,43,0.42,180.0760004,0.05,0.784,0.261,0.469,1.621,2.615,4.535,8.308
CRCRPIPO,2009,ABCO,2010,1.8,100,1,NA,288,58,166,43,0.16,200.0232411,0.049,0.774,0.195,0.406,1.619,2.616,4.706,8.304
CRCRPIPO,2009,ABCO,2010,2.7,100,1,NA,287,60,166,43,0.16,133.3180698,0.049,0.773,0.194,0.521,1.622,2.622,4.473,8.284
CRCRPIPO,2009,ABCO,2010,2.5,100,1,NA,259,47,153,35,0.65,132.765189,0.047,0.867,0.073,1.01,2.046,2.59,4.665,8.46
CRCRPIPO,2009,ABCO,2010,1.7,100,1,NA,257,43,148,31,0.66,210.8744164,0.033,0.91,0.123,0.995,2.061,2.557,4.924,9.758
CRCRPIPO,2009,ABCO,2010,2.9,100,1,NA,260,45,151,34,0.66,127.9520834,0.043,0.924,0.187,0.38,1.949,2.626,4.83,9.834
CRCRPIPO,2009,ABCO,2010,2.7,100,1,NA,271,48,157,37,0.57,132.407125,0.045,0.932,0.175,0.309,1.867,2.566,4.717,9.664
CRCRPIPO,2009,ABCO,2010,2.7,100,1,NA,268,50,158,40,0.53,138.9570075,0.046,0.927,0.195,0.382,1.913,2.517,4.647,9.676
CRCRPIPO,2009,ABCO,2010,4,100,1,NA,288,61,168,48,1.27,94.60181506,0.054,0.939,0.201,0.685,1.26,2.765,4.825,8.95
CRCRPIPO,2009,ABCO,2010,17.4,100,1,NA,76,8,20,3,1.82,14.16208826,0.302,1.864,0.555,0.894,1.779,3.288,5.501,9.449
CRCRPIPO,2009,CADE,2010,22.7,100,1,NA,70,7,46,5,1.65,13.7703469,0.202,1.389,0.112,1.335,2.049,4.824,6.812,13.225
CRCRPIPO,2009,CADE,2010,7.7,100,1,NA,88,10,48,3,1.08,38.90365322,0.018,1.598,0.858,1.933,3.18,5.483,10.188,13.214
CRCRPIPO,2009,ABCO,2010,3,100,1,NA,144,10,48,6,0.4,85.5483862,0.01,1.073,0.058,0.201,1.211,1.683,5.323,7.911
CRCRPIPO,2009,ABCO,2010,3.8,100,1,NA,138,13,47,5,0.38,61.34612433,0.005,1.087,0.085,0.563,1.181,1.629,5.272,7.263
CRCRPIPO,2009,ABCO,2010,4,100,1,NA,140,10,46,6,0.26,64.82616104,0.01,1.072,0.166,0.2,1.206,1.677,5.22,7.912
CRCRPIPO,2009,ABCO,2010,3.3,100,1,NA,136,11,45,6,1.2,87.7150256,0.01,1.059,0.173,0.208,1.079,1.814,4.89,7.236
CRCRPIPO,2009,CADE,2010,5.6,100,1,NA,98,11,36,7,1.12,54.18194972,0.026,0.954,0.01,0.645,2.095,3.836,6.488,10.177
CRCRPIPO,2009,ABCO,2010,3,100,1,NA,292,52,166,44,0.41,123.780352,0.055,0.239,0.119,0.582,1.642,2.438,4.464,9.248
CRCRPIPO,2009,ABCO,2010,2.6,100,1,NA,112,16,22,5,1.91,92.8680714,0.006,0.732,0.002,0.163,0.442,1.408,2.96,10.532
CRCRPIPO,2009,PINUS,2010,1.6,100,1,NA,81,4,19,2,2.34,193.487089,0,1.653,0,0.134,0.747,1.27,3.926,9.745
CRCRPIPO,2009,ABCO,2010,2.5,100,1,NA,137,12,97,9,1.52,127.2783266,0.143,2.538,0.015,1.01,3.448,6.739,9.477,12.743
CRCRPIPO,2009,ABCO,2010,3,100,1,NA,115,17,26,6,0.47,76.29080567,0.007,0.823,0.067,0.184,0.328,1.223,3.544,8.607
CRCRPIPO,2009,PINUS,2010,1.3,100,1,NA,112,14,33,6,0.91,210.8419332,0.071,0.32,0.069,0.138,0.875,1.566,3.869,11.305
CRCRPIPO,2009,CADE,2010,1.8,100,1,NA,88,9,22,8,0.34,177.1907035,0.003,0.285,0.002,0.069,1.649,2.512,5.288,11.475
CRCRPIPO,2009,CADE,2010,2.4,100,1,NA,90,10,23,9,0.81,126.0436439,0.003,0.289,0.003,0.083,1.684,2.815,4.689,11.457
CRCRPIPO,2009,CADE,2010,1.3,100,1,NA,105,10,21,5,0.72,243.1456699,0.003,1.032,0.085,0.113,1.054,1.691,5.225,9.32
CRCRPIPO,2009,CADE,2010,1.9,100,1,NA,91,16,14,3,1.31,191.251804,0.575,1.476,0.723,1.332,1.613,3.458,8.591,14.159
CRCRPIPO,2009,ABCO,2010,4,100,1,NA,57,3,44,3,2.67,77.27026892,0.209,1.699,0.203,0.209,2.788,6.008,11.216,17.417
